milestone_id,signal,measurement_layer,start_event,start_date,first_observed_at,elapsed_days,status,evidence_maturity,primary_source,evidence_ref,notes
T001,"Production release verified",release,"Production HTTP/SEO smoke passes",,,,pending,PRE,"Production smoke + deploy evidence",,"This becomes the reference start date for post-release Search and conversion timing."
T002,"First Google discovery/crawl evidence",google-discovery,"Production release verified",,,,pending,PRE,"GSC URL Inspection / crawl evidence / server logs",,"Use observable evidence only; do not infer crawl from a page merely existing in sitemap."
T003,"First GSC impression",google-search,"Production release verified",,,,pending,PRE,"Google Search Console",,"Any valid finalized Search Performance impression."
T004,"First non-branded GSC impression",google-search,"Production release verified",,,,pending,PRE,"Google Search Console",,"Exclude AUDITSEO/Sidney branded queries when query data is available."
T005,"First buyer-intent/commercial query impression",google-search,"Production release verified",,,,pending,PRE,"Google Search Console",,"Examples include consultoria GEO, SEO IA, especialista SEO IA, auditoria GEO or equivalent intent; classification must be documented."
T006,"First organic click",google-search,"Production release verified",,,,pending,PRE,"Google Search Console",,"Record page and query when available."
T007,"First research-asset impression",google-search,"Production release verified",,,,pending,PRE,"Google Search Console",,"Benchmark, Research Hub or Case Study receives a finalized impression."
T008,"First Search AI branded entity match",search-ai,"First frozen Search AI baseline collected",,,,pending,PRE,"Frozen 40-prompt / Observatory protocol",,"AUDITSEO is represented accurately in a branded prompt; this is entity accuracy, not provider discovery."
T009,"First Search AI unbranded mention",search-ai,"First frozen Search AI baseline collected",,,,pending,PRE,"Frozen 40-prompt / Observatory protocol",,"AUDITSEO appears in an unbranded prompt under the predefined classification rules."
T010,"First Search AI citation of an AUDITSEO URL",search-ai,"First frozen Search AI baseline collected",,,,pending,PRE,"Frozen 40-prompt / Observatory protocol",,"Must identify interface, prompt, cited URL and capture date."
T011,"First Search AI provider recommendation",search-ai,"First frozen Search AI baseline collected",,,,pending,PRE,"Frozen 40-prompt / Observatory protocol",,"Recommendation/provider consideration must be classified separately from citation or mention."
T012,"First independent external mention of AUDITSEO research",earned-authority,"First post-launch distribution action",,,,pending,PRE,"Verified external page/post",,"Can be linked or unlinked; provider factual correction response is not automatically an editorial mention."
T013,"First independent backlink to a research asset",earned-authority,"First post-launch distribution action",,,,pending,PRE,"Verified external page + backlink",,"Record referring domain, destination URL and context."
T014,"First referral session from research distribution",referral,"First post-launch distribution action",,,,pending,PRE,"Analytics/referral evidence",,"Record source and destination research asset when observable."
T015,"First qualified lead with organic first touch",commercial,"Production release verified",,,,pending,PRE,"Delivered lead payload + first-touch attribution",,"firstTouchPath/referrer/UTM or declared discovery source must support organic/search attribution."
T016,"First qualified lead with research-asset first touch",commercial,"Production release verified",,,,pending,PRE,"Delivered lead payload + first-touch attribution",,"First touch must be a benchmark, Research Hub, Case Study or other explicitly classified research asset."
T017,"First qualified lead declaring Search AI discovery",commercial,"First Search AI baseline collected",,,,pending,PRE,"Lead attribution + explicit discovery statement",,"A referral alone is insufficient when platform attribution is ambiguous; preserve the prospect's declared discovery source when available."
T018,"First meeting attributable to Search / Search AI / research",commercial,"Production release verified",,,,pending,PRE,"Lead + meeting record",,"Must trace back to a qualifying lead rather than infer from timing."
T019,"First revenue attributable to Search / Search AI / research",commercial,"Production release verified",,,,pending,PRE,"Commercial record + attribution trail",,"Revenue attribution requires a traceable lead/meeting path and must retain uncertainty notes where needed."
