study_version,intent_family,prompt_id,prompt_family,prompt_text
v2,provider_selection,ps_01,discovery,"Quais consultorias de SEO devo avaliar no Brasil para uma empresa B2B?"
v2,provider_selection,ps_02,discovery,"Quais são as principais agências de SEO no Brasil para empresas de médio porte?"
v2,provider_selection,ps_03,discovery,"Quais empresas brasileiras são referência em consultoria SEO estratégica?"
v2,provider_selection,ps_04,discovery,"Quais consultorias de SEO trabalham com diagnóstico antes da execução?"
v2,provider_selection,ps_05,discovery,"Quais agências de SEO no Brasil têm atuação forte em conteúdo, técnico e autoridade?"
v2,provider_selection,ps_06,comparison,"Como comparar uma consultoria de SEO com uma agência de SEO antes de contratar?"
v2,provider_selection,ps_07,comparison,"Quais diferenças devo avaliar entre uma agência de SEO tradicional e uma consultoria estratégica?"
v2,provider_selection,ps_08,comparison,"Quais empresas de SEO no Brasil são mais adequadas para projetos enterprise?"
v2,provider_selection,ps_09,comparison,"Quais consultorias SEO são mais indicadas para empresas que já possuem equipe interna?"
v2,provider_selection,ps_10,comparison,"Quais critérios devo usar para comparar fornecedores de SEO no Brasil?"
v2,provider_selection,ps_11,problem,"Meu site recebe pouco tráfego orgânico mesmo com conteúdo publicado. Que tipo de consultoria SEO devo procurar?"
v2,provider_selection,ps_12,problem,"Minha empresa perdeu posições e tráfego no Google. Que tipo de especialista ou agência devo contratar?"
v2,provider_selection,ps_13,problem,"Tenho equipe de marketing, mas falta direção de SEO. Que tipo de consultoria faz mais sentido?"
v2,provider_selection,ps_14,problem,"Já contratei SEO antes e recebi muitos relatórios, mas poucas decisões claras. Que perfil de fornecedor devo buscar?"
v2,provider_selection,ps_15,problem,"Quero transformar SEO em canal de aquisição previsível. Que tipo de parceiro devo avaliar?"
v2,provider_selection,ps_16,validation,"Como saber se uma agência de SEO realmente tem metodologia e não apenas um pacote de tarefas?"
v2,provider_selection,ps_17,validation,"Quais provas devo pedir antes de contratar uma consultoria de SEO?"
v2,provider_selection,ps_18,validation,"Quais promessas são sinais de alerta ao contratar uma empresa de SEO?"
v2,provider_selection,ps_19,context,"Qual tipo de consultoria SEO escolher para uma empresa B2B com time interno de conteúdo e desenvolvimento?"
v2,provider_selection,ps_20,context,"Qual tipo de parceiro SEO faz mais sentido para uma empresa que quer integrar busca orgânica, autoridade e Search AI?"
v2,technical_seo,ts_01,discovery,"Quais consultorias no Brasil são especializadas em SEO técnico?"
v2,technical_seo,ts_02,discovery,"Quais empresas devo avaliar para uma auditoria técnica de SEO em um site grande?"
v2,technical_seo,ts_03,discovery,"Quais consultorias SEO trabalham com rastreamento, indexação, canonicals e renderização JavaScript?"
v2,technical_seo,ts_04,discovery,"Quais empresas de SEO no Brasil têm experiência com migração de sites?"
v2,technical_seo,ts_05,discovery,"Quem pode auditar SEO técnico de um site React ou JavaScript?"
v2,technical_seo,ts_06,comparison,"Como comparar consultorias de SEO técnico para um projeto de grande porte?"
v2,technical_seo,ts_07,comparison,"Quais diferenças devo observar entre uma auditoria SEO técnica superficial e uma auditoria realmente executável?"
v2,technical_seo,ts_08,comparison,"Que tipo de fornecedor é mais adequado para uma migração de domínio ou CMS com risco orgânico?"
v2,technical_seo,ts_09,comparison,"Como comparar especialistas em SEO técnico para e-commerce e sites com milhares de URLs?"
v2,technical_seo,ts_10,comparison,"Quais consultorias SEO conseguem trabalhar diretamente com equipes de desenvolvimento?"
v2,technical_seo,ts_11,problem,"Meu site está indexado, mas muitas páginas importantes não aparecem nas buscas. Que tipo de auditoria preciso?"
v2,technical_seo,ts_12,problem,"Meu site perdeu tráfego depois de uma migração. Quem devo procurar para investigar a causa?"
v2,technical_seo,ts_13,problem,"Tenho páginas duplicadas, canonicals inconsistentes e problemas de rastreamento. Que tipo de consultoria devo contratar?"
v2,technical_seo,ts_14,problem,"Meu site usa muito JavaScript e o Google não parece interpretar algumas páginas corretamente. Quem pode auditar isso?"
v2,technical_seo,ts_15,problem,"O Search Console mostra muitas URLs descobertas mas não indexadas. Que tipo de especialista deve investigar?"
v2,technical_seo,ts_16,validation,"Quais entregáveis devo exigir de uma auditoria técnica de SEO?"
v2,technical_seo,ts_17,validation,"Como saber se uma consultoria de SEO técnico consegue priorizar problemas por impacto?"
v2,technical_seo,ts_18,validation,"Quais testes devem ser feitos antes e depois de uma migração SEO?"
v2,technical_seo,ts_19,context,"Qual consultoria SEO escolher para uma migração de e-commerce com milhares de URLs e forte receita orgânica?"
v2,technical_seo,ts_20,context,"Qual perfil de especialista SEO é indicado para um site SSR/JavaScript com problemas de indexação e canonical?"
v2,search_ai_geo,ai_01,discovery,"Quais empresas no Brasil trabalham com GEO e Search AI?"
v2,search_ai_geo,ai_02,discovery,"Quais consultorias ajudam marcas a melhorar presença em ChatGPT, Gemini e outras buscas com IA?"
v2,search_ai_geo,ai_03,discovery,"Quem oferece auditoria de visibilidade em IA no Brasil?"
