checkpoint_date,query_id,query,official_domain_observed,official_url_observed,founder_association_observed,search_intelligence_association_observed,unrelated_auditseo_observed,legacy_agency_label_observed,research_asset_observed,independent_external_reference_observed,result_status,evidence_url_or_capture_ref,notes
2026-09-08,ED01,AUDITSEO,yes,https://www.auditseo.com.br/,not_applicable,yes,no,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved; public result still reflects the pre-release production narrative. Separate homonym is documented elsewhere in this checkpoint through ED02/ED10 rather than inferred into this query."
2026-09-08,ED02,AUDITSEO SEO,yes,https://www.auditseo.com.br/,not_applicable,yes,yes,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/ | https://auditseo.app/,"Both the Brazilian consultancy and unrelated AuditSEO tool were retrieved for the same textual brand + SEO context."
2026-09-08,ED03,AUDITSEO Search Intelligence,yes,https://www.auditseo.com.br/,not_applicable,yes,no,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved for the central category query before the new Authority-to-Lead release."
2026-09-08,ED04,Sidney Santos AUDITSEO,no,,yes,not_observed,no,not_applicable,not_applicable,yes,observed,https://br.linkedin.com/pub/dir/Sidney/Santos%2B/br-0-Brasil,"LinkedIn public directory retrieved an entry associating Sidney Santos with AUDITSEO. The official founder page was not the observed result in this sample."
2026-09-08,ED05,Sidney Santos Search Intelligence,no,,no,no,no,not_applicable,not_applicable,no,not_observed,,"No relevant Sidney Santos/AUDITSEO result was retrieved in the sampled search; unrelated results were returned. This does not prove non-indexation."
2026-09-08,ED06,AUDITSEO GEO,yes,https://www.auditseo.com.br/,not_applicable,yes,no,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved; dedicated /geo-ia Authority-to-Lead page was not the observed result in this pre-release sample."
2026-09-08,ED07,AUDITSEO Search AI,no,,not_applicable,no,no,not_applicable,not_applicable,no,not_observed,,"No official AUDITSEO result was retrieved in the sampled search; an unrelated SEO/AI audit result was returned."
2026-09-08,ED08,AUDITSEO ChatGPT,yes,https://www.auditseo.com.br/,not_applicable,yes,no,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved; the new ChatGPT authority articles were not the observed results in this pre-release sample."
2026-09-08,ED09,"site:auditseo.com.br \"Search Intelligence\"",yes,https://www.auditseo.com.br/,not_applicable,yes,no,not_applicable,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved for the site-scoped category query. This is a discovery observation, not an index-count measurement."
2026-09-08,ED10,AUDITSEO Research,no,,not_applicable,no,yes,not_applicable,no,no,observed,https://auditseo.app/,"The unrelated auditseo.app product was retrieved; the new AUDITSEO Research Hub was not observed in this pre-release sample."
2026-09-08,ED11,Quanto custa uma consultoria de SEO + GEO/IA em 2026,no,,not_applicable,not_applicable,no,not_applicable,no,no,observed,https://www.maudy.com.br/quanto-custa-seo/,"Competing pricing content was retrieved; AUDITSEO Benchmark #001 was not observed pre-release. Absence from this search is not proof of non-indexation."
2026-09-08,ED12,Como o mercado brasileiro vende GEO e Search AI em 2026,no,,not_applicable,not_applicable,no,not_applicable,no,no,not_observed,,"No result was returned for the exact sampled query. AUDITSEO Benchmark #002 was not observed pre-release."
2026-09-08,ED13,Case Study #001 AUDITSEO,no,,not_applicable,not_applicable,no,not_applicable,no,no,observed,https://zenderhub.com/case-studies/beckett-simonon,"Unrelated Case Study #001 results were retrieved; the AUDITSEO case was not observed pre-release."
2026-09-08,ED14,AUDITSEO Agência de SEO,yes,https://www.auditseo.com.br/,not_applicable,yes,no,no,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage was retrieved and visibly states in FAQ that AUDITSEO is not an SEO agency. The separate Opendi legacy listing labelled 'Auditseo | Agência de SEO' exists and is documented in the external baseline, but it was not the observed result for this exact checkpoint query."
2026-09-08,ED15,AUDITSEO Consultoria de Search Intelligence,yes,https://www.auditseo.com.br/,not_applicable,yes,no,no,not_applicable,no,observed,https://www.auditseo.com.br/,"Official homepage retrieved for the desired category/consultancy association before release; public page still uses the old production copy."
