study_version,sector_id,template_id,prompt_family,prompt_template,expansion_rule
v1,crm,crm_entity_01,entity_identity,"O que é {brand} e o que ela oferece para equipes comerciais?","Expandir para as 10 marcas do setor crm"
v1,crm,crm_entity_02,entity_fit,"Para que tipo de empresa e processo de vendas {brand} é indicada?","Expandir para as 10 marcas do setor crm"
v1,crm,crm_entity_03,entity_validation,"Quais informações importantes devo verificar antes de escolher {brand} como CRM?","Expandir para as 10 marcas do setor crm"
v1,erp_pme,erp_entity_01,entity_identity,"O que é {brand} e quais áreas da gestão empresarial ela cobre?","Expandir para as 10 marcas do setor erp_pme"
v1,erp_pme,erp_entity_02,entity_fit,"Para que tipo de empresa e operação {brand} é indicada?","Expandir para as 10 marcas do setor erp_pme"
v1,erp_pme,erp_entity_03,entity_validation,"Quais informações importantes devo verificar antes de escolher {brand} como sistema de gestão ou ERP?","Expandir para as 10 marcas do setor erp_pme"
v1,ecommerce,ecom_entity_01,entity_identity,"O que é {brand} e o que ela oferece para operações de e-commerce?","Expandir para as 10 marcas do setor ecommerce"
v1,ecommerce,ecom_entity_02,entity_fit,"Para que tipo de loja, porte de operação e cenário {brand} é indicada?","Expandir para as 10 marcas do setor ecommerce"
v1,ecommerce,ecom_entity_03,entity_validation,"Quais informações importantes devo verificar antes de escolher {brand} como plataforma de e-commerce?","Expandir para as 10 marcas do setor ecommerce"
v1,marketing_automation,mkt_entity_01,entity_identity,"O que é {brand} e quais recursos de automação de marketing ela oferece?","Expandir para as 10 marcas do setor marketing_automation"
v1,marketing_automation,mkt_entity_02,entity_fit,"Para que tipo de empresa, equipe e jornada de marketing {brand} é indicada?","Expandir para as 10 marcas do setor marketing_automation"
v1,marketing_automation,mkt_entity_03,entity_validation,"Quais informações importantes devo verificar antes de escolher {brand} para automação de marketing?","Expandir para as 10 marcas do setor marketing_automation"
v1,customer_service,cs_entity_01,entity_identity,"O que é {brand} e quais canais e funções de atendimento ao cliente ela oferece?","Expandir para as 10 marcas do setor customer_service"
v1,customer_service,cs_entity_02,entity_fit,"Para que tipo de equipe, volume e operação de atendimento {brand} é indicada?","Expandir para as 10 marcas do setor customer_service"
v1,customer_service,cs_entity_03,entity_validation,"Quais informações importantes devo verificar antes de escolher {brand} como plataforma de atendimento?","Expandir para as 10 marcas do setor customer_service"
