provider,benchmark,source_url,purpose,status,sent_at,response_status,correction_requested,correction_status,notes
AI SEO Brasil,pricing+market-communication,https://www.aiseobrasil.com/,factual_snapshot_notification,pending,,,no,none,"Appears in both public research assets; notification must not request backlink or endorsement."
Brasil GEO,pricing+market-communication,https://brasilgeo.ai/,factual_snapshot_notification,pending,,,no,none,"Pricing benchmark uses public pricing page; communication benchmark uses public GEO service page."
Lucas Ferraz SEO,pricing,https://lucasferrazseo.com/servicos/generative-engine-optimization-geo/,factual_snapshot_notification,pending,,,no,none,"Verify captured public diagnostic/monthly offer fields against 2026-09-08 snapshot."
Organic301,pricing,https://organic301.com/geo/,factual_snapshot_notification,pending,,,no,none,"Verify captured public starting monthly GEO offer against snapshot."
SOY,pricing,https://soy.com.br/en/servico/seo-para-ia/,factual_snapshot_notification,pending,,,no,none,"Periodicity was intentionally not inferred where public page was insufficiently explicit."
SEOPARA,pricing,https://www.seopara.com.br/,factual_snapshot_notification,pending,,,no,none,"Classified as hybrid monthly SEO/GEO offer rather than pure GEO consulting."
Analista de SEO,pricing,https://www.analistadeseo.com.br/consultoria-seo-express/,factual_snapshot_notification,pending,,,no,none,"Public consultation-session prices captured as consultation, not full GEO audit."
Dolomite AI,pricing,https://dolomiteai.com/seo-para-ia,factual_snapshot_notification,pending,,,no,none,"Software pricing separated from human consulting fees."
AgentRank,pricing,https://agentrank.com.br/,factual_snapshot_notification,pending,,,no,none,"Software pricing separated from human consulting fees."
Contentor,pricing,https://usecontentor.com/,factual_snapshot_notification,pending,,,no,none,"Software/bundle pricing separated from pure consulting."
Maudy,market-communication,https://www.maudy.com.br/consultoria-de-seo/,factual_snapshot_notification,pending,,,no,none,"Classification concerns only statements visible on the observed public page."
Laurware,market-communication,https://www.laurware.com.br/seo-para-ia,factual_snapshot_notification,pending,,,no,none,"Classification concerns preparation/entity/schema/content claims visible on snapshot."
Apareça no ChatGPT,market-communication,https://aparecanochatgpt.com.br/agencia,factual_snapshot_notification,pending,,,no,none,"Verify public prompt/model measurement and timeline fields captured in snapshot."
ZP Digital,market-communication,https://zpdigital.com.br/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public promise/method/measurement/evidence fields only."
NeuroWits GEO,market-communication,https://geo.neurowits.com.br/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public GEO page captured on 2026-09-08."
A Carioca,market-communication,https://www.acarioca.com.br/servicos/seo-para-ia/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public SEO-for-AI page captured on snapshot date."
Flowup Agency,market-communication,https://flowup.agency/consultoria-geo-aeo/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public GEO/AEO consulting page only."
Netlinks,market-communication,https://netlinks.com.br/geo/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public GEO offer page only."
Jidu,market-communication,https://jidu.com.br/consultoria-de-geo-2/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public GEO consulting page only."
RankIA,market-communication,https://rankia.ia.br/,factual_snapshot_notification,pending,,,no,none,"Classification concerns public claims/method/measurement/evidence visible on snapshot."
